decision_id,trainset_id,decision_date,decision,reason_summary,actual_outcome,remarks
D312025-09-25,31,25-09-2025,maintenance,Pending Job Card,withdrawn,OK
D322025-09-25,32,25-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D332025-09-25,33,25-09-2025,inducted,Service Ready,success,Override Applied
D342025-09-25,34,25-09-2025,inducted,Branding Commitment,success,Issue Noted
D352025-09-25,35,25-09-2025,inducted,Branding Commitment,delayed,Override Applied
D362025-09-25,36,25-09-2025,maintenance,Scheduled Cleaning,withdrawn,Issue Noted
D372025-09-25,37,25-09-2025,inducted,Service Ready,delayed,Override Applied
D382025-09-25,38,25-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D392025-09-25,39,25-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D402025-09-25,40,25-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D412025-09-25,41,25-09-2025,standby,Operational Buffer,delayed,OK
D422025-09-25,42,25-09-2025,maintenance,Pending Job Card,success,Override Applied
D432025-09-25,43,25-09-2025,inducted,Mileage Balanced,success,Issue Noted
D442025-09-25,44,25-09-2025,standby,Reserve Rake,withdrawn,Issue Noted
D452025-09-25,45,25-09-2025,inducted,Mileage Balanced,withdrawn,OK
D462025-09-25,46,25-09-2025,inducted,Service Ready,withdrawn,Override Applied
D472025-09-25,47,25-09-2025,inducted,Branding Commitment,success,Issue Noted
D482025-09-25,48,25-09-2025,maintenance,Scheduled Cleaning,success,OK
D492025-09-25,49,25-09-2025,maintenance,Fitness Certificate Expired,success,OK
D502025-09-25,50,25-09-2025,inducted,Service Ready,success,Override Applied
D512025-09-25,51,25-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Override Applied
D522025-09-25,52,25-09-2025,standby,Operational Buffer,withdrawn,Issue Noted
D532025-09-25,53,25-09-2025,maintenance,Scheduled Cleaning,withdrawn,Override Applied
D542025-09-25,54,25-09-2025,maintenance,Pending Job Card,success,OK
D552025-09-25,55,25-09-2025,maintenance,Pending Job Card,success,Issue Noted
D562025-09-25,56,25-09-2025,inducted,Service Ready,withdrawn,Override Applied
D572025-09-25,57,25-09-2025,inducted,Branding Commitment,delayed,OK
D582025-09-25,58,25-09-2025,inducted,Branding Commitment,success,Override Applied
D592025-09-25,59,25-09-2025,inducted,Branding Commitment,success,Override Applied
D602025-09-25,60,25-09-2025,inducted,Service Ready,delayed,Override Applied
D612025-09-25,61,25-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D622025-09-25,62,25-09-2025,standby,Operational Buffer,success,Override Applied
D632025-09-25,63,25-09-2025,inducted,Service Ready,delayed,Override Applied
D642025-09-25,64,25-09-2025,standby,Reserve Rake,withdrawn,OK
D652025-09-25,65,25-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D662025-09-25,66,25-09-2025,inducted,Branding Commitment,delayed,OK
D672025-09-25,67,25-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D682025-09-25,68,25-09-2025,standby,Operational Buffer,delayed,OK
D692025-09-25,69,25-09-2025,inducted,Mileage Balanced,withdrawn,OK
D702025-09-25,70,25-09-2025,standby,Reserve Rake,success,Issue Noted
D712025-09-25,71,25-09-2025,inducted,Mileage Balanced,success,Override Applied
D722025-09-25,72,25-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D732025-09-25,73,25-09-2025,standby,Operational Buffer,withdrawn,OK
D742025-09-25,74,25-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D752025-09-25,75,25-09-2025,maintenance,Fitness Certificate Expired,success,OK
D762025-09-25,76,25-09-2025,inducted,Mileage Balanced,delayed,OK
D772025-09-25,77,25-09-2025,inducted,Mileage Balanced,success,Override Applied
D782025-09-25,78,25-09-2025,standby,Reserve Rake,success,Issue Noted
D792025-09-25,79,25-09-2025,standby,Operational Buffer,withdrawn,Override Applied
D802025-09-25,80,25-09-2025,inducted,Branding Commitment,success,OK
D812025-09-25,81,25-09-2025,standby,Operational Buffer,withdrawn,Override Applied
D822025-09-25,82,25-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Issue Noted
D832025-09-25,83,25-09-2025,standby,Operational Buffer,withdrawn,OK
D842025-09-25,84,25-09-2025,standby,Reserve Rake,delayed,Issue Noted
D852025-09-25,85,25-09-2025,inducted,Service Ready,success,OK
D862025-09-25,86,25-09-2025,standby,Reserve Rake,delayed,Override Applied
D872025-09-25,87,25-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D882025-09-25,88,25-09-2025,maintenance,Fitness Certificate Expired,delayed,OK
D892025-09-25,89,25-09-2025,inducted,Service Ready,success,Override Applied
D902025-09-25,90,25-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D912025-09-25,91,25-09-2025,standby,Reserve Rake,delayed,Override Applied
D922025-09-25,92,25-09-2025,inducted,Branding Commitment,success,OK
D932025-09-25,93,25-09-2025,inducted,Service Ready,withdrawn,Issue Noted
D942025-09-25,94,25-09-2025,inducted,Branding Commitment,withdrawn,OK
D952025-09-25,95,25-09-2025,maintenance,Fitness Certificate Expired,withdrawn,OK
D962025-09-25,96,25-09-2025,standby,Operational Buffer,success,OK
D972025-09-25,97,25-09-2025,inducted,Mileage Balanced,success,OK
D982025-09-25,98,25-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Override Applied
D992025-09-25,99,25-09-2025,inducted,Mileage Balanced,withdrawn,OK
D1002025-09-25,100,25-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D12025-09-26,1,26-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Override Applied
D22025-09-26,2,26-09-2025,standby,Reserve Rake,delayed,OK
D32025-09-26,3,26-09-2025,standby,Operational Buffer,delayed,Override Applied
D42025-09-26,4,26-09-2025,inducted,Mileage Balanced,withdrawn,OK
D52025-09-26,5,26-09-2025,maintenance,Fitness Certificate Expired,delayed,Override Applied
D62025-09-26,6,26-09-2025,inducted,Branding Commitment,delayed,Override Applied
D72025-09-26,7,26-09-2025,inducted,Branding Commitment,success,OK
D82025-09-26,8,26-09-2025,inducted,Service Ready,success,Issue Noted
D92025-09-26,9,26-09-2025,inducted,Branding Commitment,withdrawn,Issue Noted
D102025-09-26,10,26-09-2025,standby,Reserve Rake,withdrawn,Issue Noted
D112025-09-26,11,26-09-2025,inducted,Mileage Balanced,success,Override Applied
D122025-09-26,12,26-09-2025,inducted,Branding Commitment,success,Override Applied
D132025-09-26,13,26-09-2025,inducted,Service Ready,withdrawn,OK
D142025-09-26,14,26-09-2025,inducted,Branding Commitment,delayed,Override Applied
D152025-09-26,15,26-09-2025,maintenance,Pending Job Card,success,Issue Noted
D162025-09-26,16,26-09-2025,maintenance,Fitness Certificate Expired,delayed,Issue Noted
D172025-09-26,17,26-09-2025,maintenance,Fitness Certificate Expired,delayed,OK
D182025-09-26,18,26-09-2025,inducted,Service Ready,success,Override Applied
D192025-09-26,19,26-09-2025,inducted,Service Ready,delayed,Override Applied
D202025-09-26,20,26-09-2025,standby,Operational Buffer,success,Issue Noted
D212025-09-26,21,26-09-2025,standby,Operational Buffer,delayed,Issue Noted
D222025-09-26,22,26-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D232025-09-26,23,26-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D242025-09-26,24,26-09-2025,standby,Operational Buffer,withdrawn,Issue Noted
D252025-09-26,25,26-09-2025,standby,Operational Buffer,success,OK
D262025-09-26,26,26-09-2025,inducted,Mileage Balanced,success,Override Applied
D272025-09-26,27,26-09-2025,inducted,Mileage Balanced,success,Override Applied
D282025-09-26,28,26-09-2025,inducted,Service Ready,delayed,OK
D292025-09-26,29,26-09-2025,inducted,Service Ready,withdrawn,OK
D302025-09-26,30,26-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D312025-09-26,31,26-09-2025,inducted,Branding Commitment,withdrawn,Issue Noted
D322025-09-26,32,26-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Override Applied
D332025-09-26,33,26-09-2025,standby,Reserve Rake,delayed,Override Applied
D342025-09-26,34,26-09-2025,inducted,Branding Commitment,success,OK
D352025-09-26,35,26-09-2025,standby,Reserve Rake,success,OK
D362025-09-26,36,26-09-2025,standby,Operational Buffer,withdrawn,Override Applied
D372025-09-26,37,26-09-2025,inducted,Service Ready,delayed,OK
D382025-09-26,38,26-09-2025,inducted,Service Ready,success,OK
D392025-09-26,39,26-09-2025,standby,Operational Buffer,withdrawn,OK
D402025-09-26,40,26-09-2025,standby,Operational Buffer,success,Override Applied
D412025-09-26,41,26-09-2025,standby,Operational Buffer,withdrawn,Override Applied
D422025-09-26,42,26-09-2025,standby,Operational Buffer,delayed,Issue Noted
D432025-09-26,43,26-09-2025,maintenance,Fitness Certificate Expired,success,OK
D442025-09-26,44,26-09-2025,inducted,Service Ready,delayed,OK
D452025-09-26,45,26-09-2025,inducted,Mileage Balanced,success,OK
D462025-09-26,46,26-09-2025,standby,Operational Buffer,success,Issue Noted
D472025-09-26,47,26-09-2025,inducted,Branding Commitment,delayed,OK
D482025-09-26,48,26-09-2025,standby,Reserve Rake,withdrawn,Issue Noted
D492025-09-26,49,26-09-2025,inducted,Service Ready,success,OK
D502025-09-26,50,26-09-2025,inducted,Mileage Balanced,success,Issue Noted
D512025-09-26,51,26-09-2025,maintenance,Pending Job Card,success,Override Applied
D522025-09-26,52,26-09-2025,inducted,Service Ready,withdrawn,Override Applied
D532025-09-26,53,26-09-2025,standby,Operational Buffer,success,Issue Noted
D542025-09-26,54,26-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D552025-09-26,55,26-09-2025,standby,Operational Buffer,delayed,Override Applied
D562025-09-26,56,26-09-2025,inducted,Service Ready,withdrawn,Issue Noted
D572025-09-26,57,26-09-2025,inducted,Service Ready,delayed,Issue Noted
D582025-09-26,58,26-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D592025-09-26,59,26-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D602025-09-26,60,26-09-2025,inducted,Service Ready,withdrawn,OK
D612025-09-26,61,26-09-2025,standby,Reserve Rake,withdrawn,OK
D622025-09-26,62,26-09-2025,maintenance,Fitness Certificate Expired,success,Override Applied
D632025-09-26,63,26-09-2025,inducted,Service Ready,withdrawn,Issue Noted
D642025-09-26,64,26-09-2025,inducted,Branding Commitment,delayed,Override Applied
D652025-09-26,65,26-09-2025,inducted,Branding Commitment,delayed,Override Applied
D662025-09-26,66,26-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Override Applied
D672025-09-26,67,26-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D682025-09-26,68,26-09-2025,maintenance,Scheduled Cleaning,delayed,Issue Noted
D692025-09-26,69,26-09-2025,inducted,Service Ready,delayed,Override Applied
D702025-09-26,70,26-09-2025,inducted,Branding Commitment,success,Override Applied
D712025-09-26,71,26-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D722025-09-26,72,26-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D732025-09-26,73,26-09-2025,inducted,Service Ready,success,OK
D742025-09-26,74,26-09-2025,inducted,Service Ready,withdrawn,Override Applied
D752025-09-26,75,26-09-2025,standby,Operational Buffer,success,OK
D762025-09-26,76,26-09-2025,standby,Operational Buffer,success,Override Applied
D772025-09-26,77,26-09-2025,standby,Operational Buffer,withdrawn,OK
D782025-09-26,78,26-09-2025,inducted,Mileage Balanced,success,OK
D792025-09-26,79,26-09-2025,inducted,Service Ready,delayed,Override Applied
D802025-09-26,80,26-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D812025-09-26,81,26-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D822025-09-26,82,26-09-2025,inducted,Service Ready,success,OK
D832025-09-26,83,26-09-2025,inducted,Service Ready,success,Override Applied
D842025-09-26,84,26-09-2025,standby,Operational Buffer,delayed,Override Applied
D852025-09-26,85,26-09-2025,inducted,Service Ready,delayed,Issue Noted
D862025-09-26,86,26-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D872025-09-26,87,26-09-2025,maintenance,Fitness Certificate Expired,withdrawn,OK
D882025-09-26,88,26-09-2025,maintenance,Pending Job Card,withdrawn,OK
D892025-09-26,89,26-09-2025,standby,Operational Buffer,delayed,Issue Noted
D902025-09-26,90,26-09-2025,standby,Operational Buffer,success,OK
D912025-09-26,91,26-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D922025-09-26,92,26-09-2025,standby,Reserve Rake,delayed,Issue Noted
D932025-09-26,93,26-09-2025,inducted,Service Ready,delayed,Issue Noted
D942025-09-26,94,26-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Issue Noted
D952025-09-26,95,26-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D962025-09-26,96,26-09-2025,inducted,Mileage Balanced,withdrawn,OK
D972025-09-26,97,26-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D982025-09-26,98,26-09-2025,inducted,Branding Commitment,withdrawn,OK
D992025-09-26,99,26-09-2025,standby,Operational Buffer,delayed,OK
D1002025-09-26,100,26-09-2025,maintenance,Pending Job Card,success,OK
D12025-09-27,1,27-09-2025,inducted,Branding Commitment,success,Issue Noted
D22025-09-27,2,27-09-2025,standby,Reserve Rake,withdrawn,OK
D32025-09-27,3,27-09-2025,maintenance,Pending Job Card,withdrawn,OK
D42025-09-27,4,27-09-2025,inducted,Service Ready,success,OK
D52025-09-27,5,27-09-2025,inducted,Branding Commitment,success,Issue Noted
D62025-09-27,6,27-09-2025,inducted,Service Ready,delayed,OK
D72025-09-27,7,27-09-2025,inducted,Mileage Balanced,success,Override Applied
D82025-09-27,8,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D92025-09-27,9,27-09-2025,inducted,Branding Commitment,success,Issue Noted
D102025-09-27,10,27-09-2025,maintenance,Pending Job Card,success,OK
D112025-09-27,11,27-09-2025,maintenance,Pending Job Card,delayed,Override Applied
D122025-09-27,12,27-09-2025,maintenance,Pending Job Card,withdrawn,Issue Noted
D132025-09-27,13,27-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D142025-09-27,14,27-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D152025-09-27,15,27-09-2025,inducted,Branding Commitment,delayed,OK
D162025-09-27,16,27-09-2025,inducted,Branding Commitment,delayed,Issue Noted
D172025-09-27,17,27-09-2025,maintenance,Scheduled Cleaning,withdrawn,OK
D182025-09-27,18,27-09-2025,inducted,Service Ready,success,Override Applied
D192025-09-27,19,27-09-2025,standby,Reserve Rake,withdrawn,Override Applied
D202025-09-27,20,27-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D212025-09-27,21,27-09-2025,inducted,Service Ready,success,Issue Noted
D222025-09-27,22,27-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D232025-09-27,23,27-09-2025,inducted,Mileage Balanced,success,OK
D242025-09-27,24,27-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D252025-09-27,25,27-09-2025,standby,Reserve Rake,withdrawn,Override Applied
D262025-09-27,26,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D272025-09-27,27,27-09-2025,standby,Reserve Rake,delayed,Issue Noted
D282025-09-27,28,27-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D292025-09-27,29,27-09-2025,inducted,Branding Commitment,success,OK
D302025-09-27,30,27-09-2025,inducted,Mileage Balanced,delayed,Override Applied
D312025-09-27,31,27-09-2025,maintenance,Pending Job Card,delayed,Issue Noted
D322025-09-27,32,27-09-2025,inducted,Branding Commitment,delayed,Override Applied
D332025-09-27,33,27-09-2025,standby,Operational Buffer,delayed,OK
D342025-09-27,34,27-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D352025-09-27,35,27-09-2025,inducted,Service Ready,delayed,Override Applied
D362025-09-27,36,27-09-2025,inducted,Service Ready,withdrawn,Issue Noted
D372025-09-27,37,27-09-2025,inducted,Service Ready,delayed,Override Applied
D382025-09-27,38,27-09-2025,inducted,Branding Commitment,success,OK
D392025-09-27,39,27-09-2025,maintenance,Pending Job Card,delayed,Issue Noted
D402025-09-27,40,27-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D412025-09-27,41,27-09-2025,inducted,Branding Commitment,success,OK
D422025-09-27,42,27-09-2025,standby,Operational Buffer,withdrawn,Override Applied
D432025-09-27,43,27-09-2025,inducted,Service Ready,success,Issue Noted
D442025-09-27,44,27-09-2025,inducted,Service Ready,success,Override Applied
D452025-09-27,45,27-09-2025,standby,Reserve Rake,success,Issue Noted
D462025-09-27,46,27-09-2025,maintenance,Pending Job Card,success,Override Applied
D472025-09-27,47,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D482025-09-27,48,27-09-2025,inducted,Branding Commitment,withdrawn,Issue Noted
D492025-09-27,49,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D502025-09-27,50,27-09-2025,standby,Reserve Rake,success,Issue Noted
D512025-09-27,51,27-09-2025,inducted,Service Ready,delayed,Override Applied
D522025-09-27,52,27-09-2025,inducted,Mileage Balanced,success,Override Applied
D532025-09-27,53,27-09-2025,inducted,Mileage Balanced,withdrawn,Issue Noted
D542025-09-27,54,27-09-2025,maintenance,Scheduled Cleaning,delayed,Issue Noted
D552025-09-27,55,27-09-2025,maintenance,Fitness Certificate Expired,delayed,Override Applied
D562025-09-27,56,27-09-2025,inducted,Branding Commitment,delayed,Override Applied
D572025-09-27,57,27-09-2025,inducted,Service Ready,delayed,Override Applied
D582025-09-27,58,27-09-2025,standby,Reserve Rake,success,OK
D592025-09-27,59,27-09-2025,standby,Operational Buffer,success,Issue Noted
D602025-09-27,60,27-09-2025,inducted,Branding Commitment,delayed,OK
D612025-09-27,61,27-09-2025,maintenance,Pending Job Card,delayed,Issue Noted
D622025-09-27,62,27-09-2025,inducted,Mileage Balanced,success,OK
D632025-09-27,63,27-09-2025,standby,Operational Buffer,delayed,Override Applied
D642025-09-27,64,27-09-2025,inducted,Mileage Balanced,delayed,OK
D652025-09-27,65,27-09-2025,inducted,Service Ready,withdrawn,OK
D662025-09-27,66,27-09-2025,maintenance,Fitness Certificate Expired,withdrawn,OK
D672025-09-27,67,27-09-2025,inducted,Mileage Balanced,delayed,OK
D682025-09-27,68,27-09-2025,inducted,Mileage Balanced,withdrawn,Override Applied
D692025-09-27,69,27-09-2025,maintenance,Pending Job Card,withdrawn,Override Applied
D702025-09-27,70,27-09-2025,inducted,Mileage Balanced,success,Override Applied
D712025-09-27,71,27-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D722025-09-27,72,27-09-2025,maintenance,Pending Job Card,delayed,OK
D732025-09-27,73,27-09-2025,inducted,Service Ready,delayed,Override Applied
D742025-09-27,74,27-09-2025,inducted,Branding Commitment,delayed,Override Applied
D752025-09-27,75,27-09-2025,maintenance,Scheduled Cleaning,success,Issue Noted
D762025-09-27,76,27-09-2025,inducted,Service Ready,success,Issue Noted
D772025-09-27,77,27-09-2025,maintenance,Scheduled Cleaning,success,Override Applied
D782025-09-27,78,27-09-2025,standby,Reserve Rake,success,Issue Noted
D792025-09-27,79,27-09-2025,inducted,Service Ready,delayed,Override Applied
D802025-09-27,80,27-09-2025,standby,Reserve Rake,delayed,Override Applied
D812025-09-27,81,27-09-2025,inducted,Branding Commitment,success,Issue Noted
D822025-09-27,82,27-09-2025,inducted,Service Ready,success,OK
D832025-09-27,83,27-09-2025,inducted,Service Ready,withdrawn,OK
D842025-09-27,84,27-09-2025,inducted,Service Ready,withdrawn,Override Applied
D852025-09-27,85,27-09-2025,inducted,Service Ready,success,Override Applied
D862025-09-27,86,27-09-2025,standby,Operational Buffer,withdrawn,Issue Noted
D872025-09-27,87,27-09-2025,inducted,Service Ready,delayed,Issue Noted
D882025-09-27,88,27-09-2025,inducted,Service Ready,success,Issue Noted
D892025-09-27,89,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D902025-09-27,90,27-09-2025,inducted,Service Ready,withdrawn,Override Applied
D912025-09-27,91,27-09-2025,inducted,Service Ready,delayed,Issue Noted
D922025-09-27,92,27-09-2025,inducted,Service Ready,withdrawn,OK
D932025-09-27,93,27-09-2025,standby,Operational Buffer,withdrawn,Issue Noted
D942025-09-27,94,27-09-2025,standby,Operational Buffer,withdrawn,Issue Noted
D952025-09-27,95,27-09-2025,standby,Operational Buffer,delayed,Issue Noted
D962025-09-27,96,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D972025-09-27,97,27-09-2025,inducted,Branding Commitment,success,Issue Noted
D982025-09-27,98,27-09-2025,inducted,Mileage Balanced,success,Issue Noted
D992025-09-27,99,27-09-2025,inducted,Service Ready,delayed,OK
D1002025-09-27,100,27-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Issue Noted
D12025-09-28,1,28-09-2025,inducted,Service Ready,withdrawn,OK
D22025-09-28,2,28-09-2025,maintenance,Scheduled Cleaning,success,OK
D32025-09-28,3,28-09-2025,inducted,Mileage Balanced,withdrawn,OK
D42025-09-28,4,28-09-2025,standby,Operational Buffer,success,Override Applied
D52025-09-28,5,28-09-2025,inducted,Mileage Balanced,success,Override Applied
D62025-09-28,6,28-09-2025,maintenance,Pending Job Card,withdrawn,OK
D72025-09-28,7,28-09-2025,standby,Reserve Rake,withdrawn,OK
D82025-09-28,8,28-09-2025,maintenance,Scheduled Cleaning,withdrawn,Override Applied
D92025-09-28,9,28-09-2025,inducted,Branding Commitment,delayed,OK
D102025-09-28,10,28-09-2025,inducted,Mileage Balanced,delayed,OK
D112025-09-28,11,28-09-2025,inducted,Mileage Balanced,withdrawn,OK
D122025-09-28,12,28-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D132025-09-28,13,28-09-2025,maintenance,Pending Job Card,success,Override Applied
D142025-09-28,14,28-09-2025,standby,Operational Buffer,withdrawn,OK
D152025-09-28,15,28-09-2025,inducted,Branding Commitment,delayed,Override Applied
D162025-09-28,16,28-09-2025,inducted,Service Ready,withdrawn,Override Applied
D172025-09-28,17,28-09-2025,inducted,Mileage Balanced,delayed,OK
D182025-09-28,18,28-09-2025,inducted,Branding Commitment,delayed,OK
D192025-09-28,19,28-09-2025,standby,Reserve Rake,withdrawn,OK
D202025-09-28,20,28-09-2025,standby,Reserve Rake,withdrawn,Issue Noted
D212025-09-28,21,28-09-2025,inducted,Service Ready,delayed,Override Applied
D222025-09-28,22,28-09-2025,maintenance,Fitness Certificate Expired,success,Issue Noted
D232025-09-28,23,28-09-2025,inducted,Branding Commitment,success,OK
D242025-09-28,24,28-09-2025,maintenance,Scheduled Cleaning,withdrawn,Issue Noted
D252025-09-28,25,28-09-2025,inducted,Service Ready,delayed,Override Applied
D262025-09-28,26,28-09-2025,inducted,Mileage Balanced,delayed,OK
D272025-09-28,27,28-09-2025,standby,Reserve Rake,delayed,Override Applied
D282025-09-28,28,28-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D292025-09-28,29,28-09-2025,inducted,Mileage Balanced,success,Override Applied
D302025-09-28,30,28-09-2025,inducted,Branding Commitment,withdrawn,Override Applied
D312025-09-28,31,28-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D322025-09-28,32,28-09-2025,inducted,Branding Commitment,withdrawn,OK
D332025-09-28,33,28-09-2025,maintenance,Fitness Certificate Expired,withdrawn,Issue Noted
D342025-09-28,34,28-09-2025,standby,Reserve Rake,withdrawn,Override Applied
D352025-09-28,35,28-09-2025,maintenance,Pending Job Card,delayed,OK
D362025-09-28,36,28-09-2025,standby,Reserve Rake,withdrawn,OK
D372025-09-28,37,28-09-2025,inducted,Service Ready,delayed,Override Applied
D382025-09-28,38,28-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D392025-09-28,39,28-09-2025,inducted,Branding Commitment,withdrawn,Issue Noted
D402025-09-28,40,28-09-2025,standby,Reserve Rake,withdrawn,Issue Noted
D412025-09-28,41,28-09-2025,inducted,Branding Commitment,success,Issue Noted
D422025-09-28,42,28-09-2025,inducted,Mileage Balanced,success,OK
D432025-09-28,43,28-09-2025,maintenance,Fitness Certificate Expired,delayed,Issue Noted
D442025-09-28,44,28-09-2025,inducted,Service Ready,withdrawn,Issue Noted
D452025-09-28,45,28-09-2025,inducted,Branding Commitment,success,Issue Noted
D462025-09-28,46,28-09-2025,inducted,Branding Commitment,withdrawn,Issue Noted
D472025-09-28,47,28-09-2025,inducted,Branding Commitment,delayed,OK
D482025-09-28,48,28-09-2025,maintenance,Scheduled Cleaning,success,Issue Noted
D492025-09-28,49,28-09-2025,inducted,Service Ready,success,OK
D502025-09-28,50,28-09-2025,maintenance,Scheduled Cleaning,withdrawn,Override Applied
D512025-09-28,51,28-09-2025,standby,Reserve Rake,success,OK
D522025-09-28,52,28-09-2025,maintenance,Scheduled Cleaning,delayed,OK
D532025-09-28,53,28-09-2025,maintenance,Pending Job Card,withdrawn,Issue Noted
D542025-09-28,54,28-09-2025,maintenance,Pending Job Card,delayed,OK
D552025-09-28,55,28-09-2025,inducted,Mileage Balanced,success,OK
D562025-09-28,56,28-09-2025,inducted,Mileage Balanced,delayed,Issue Noted
D572025-09-28,57,28-09-2025,inducted,Service Ready,delayed,OK
D582025-09-28,58,28-09-2025,maintenance,Pending Job Card,withdrawn,Override Applied
D592025-09-28,59,28-09-2025,inducted,Service Ready,delayed,Issue Noted
D602025-09-28,60,28-09-2025,inducted,Mileage Balanced,withdrawn,OK
