record_id,trainset_id,rake_number,bogie_count,date,time_slot,station_name,in_time,out_time,passenger_capacity,passengers_boarded,passengers_alighted,occupancy_rate
108,2,R1001,4,23-09-2025,Morning Peak,Pathadipalam,07:31,07:33,1300,107,65,20.8
109,2,R1001,4,23-09-2025,Morning Peak,Edapally,07:34,07:35,1300,147,146,20.9
110,2,R1001,4,23-09-2025,Morning Peak,Changampuzha Park,07:37,07:40,1300,178,136,24.2
111,2,R1001,4,23-09-2025,Morning Peak,Palarivattom,07:43,07:44,1300,76,72,24.5
112,2,R1001,4,23-09-2025,Morning Peak,JLN Stadium,07:49,07:52,1300,143,45,32
113,2,R1001,4,23-09-2025,Morning Peak,Kaloor,07:55,07:56,1300,173,58,40.8
114,2,R1001,4,23-09-2025,Morning Peak,Town Hall,07:59,08:02,1300,47,80,38.3
115,2,R1001,4,23-09-2025,Morning Peak,M.G Road,08:03,08:05,1300,119,42,44.2
116,2,R1001,4,23-09-2025,Morning Peak,Maharaja's College,08:06,08:09,1300,144,120,46.1
117,2,R1001,4,23-09-2025,Morning Peak,Emakulam South,08:11,08:14,1300,37,73,43.3
118,2,R1001,4,23-09-2025,Morning Peak,Kadavanthra,08:16,08:19,1300,74,48,45.3
119,2,R1001,4,23-09-2025,Morning Peak,Elamkulam,08:20,08:21,1300,116,15,53.1
120,2,R1001,4,23-09-2025,Morning Peak,Vytila,08:23,08:25,1300,161,98,57.9
121,2,R1001,4,23-09-2025,Morning Peak,Thaikoodam,08:26,08:28,1300,122,23,65.5
122,2,R1001,4,23-09-2025,Morning Peak,Petta,08:29,08:32,1300,151,33,74.6
123,2,R1001,4,23-09-2025,Morning Peak,Vadakkekotta,08:33,08:35,1300,56,146,67.7
124,2,R1001,4,23-09-2025,Morning Peak,SN Junction,08:38,08:40,1300,179,119,72.3
125,2,R1001,4,23-09-2025,Morning Peak,Tripunithura,08:41,08:44,1300,69,88,70.8
126,2,R1001,4,23-09-2025,Midday,Aluva,10:00,10:03,1300,80,44,2.8
127,2,R1001,4,23-09-2025,Midday,Pulinchodu,10:04,10:06,1300,70,19,6.7
128,2,R1001,4,23-09-2025,Midday,Companypady,10:08,10:09,1300,67,13,10.8
129,2,R1001,4,23-09-2025,Midday,Ambattukavu,10:14,10:15,1300,21,7,11.9
130,2,R1001,4,23-09-2025,Midday,Muttom,10:19,10:22,1300,34,19,13.1
131,2,R1001,4,23-09-2025,Midday,Kalamassery,10:25,10:27,1300,48,23,15
132,2,R1001,4,23-09-2025,Midday,Cochin University,10:29,10:32,1300,8,55,11.4
133,2,R1001,4,23-09-2025,Midday,Pathadipalam,10:34,10:36,1300,5,39,8.8
134,2,R1001,4,23-09-2025,Midday,Edapally,10:39,10:42,1300,79,36,12.1
135,2,R1001,4,23-09-2025,Midday,Changampuzha Park,10:42,10:44,1300,42,48,11.6
136,2,R1001,4,23-09-2025,Midday,Palarivattom,10:46,10:48,1300,63,52,12.5
137,2,R1001,4,23-09-2025,Midday,JLN Stadium,10:50,10:53,1300,13,54,9.3
138,2,R1001,4,23-09-2025,Midday,Kaloor,10:53,10:56,1300,49,32,10.6
139,2,R1001,4,23-09-2025,Midday,Town Hall,10:56,10:57,1300,76,35,13.8
140,2,R1001,4,23-09-2025,Midday,M.G Road,11:01,11:04,1300,21,42,12.2
141,2,R1001,4,23-09-2025,Midday,Maharaja's College,11:06,11:09,1300,8,28,10.6
142,2,R1001,4,23-09-2025,Midday,Emakulam South,11:12,11:14,1300,74,38,13.4
143,2,R1001,4,23-09-2025,Midday,Kadavanthra,11:15,11:18,1300,35,55,11.8
144,2,R1001,4,23-09-2025,Midday,Elamkulam,11:21,11:22,1300,25,38,10.8
145,2,R1001,4,23-09-2025,Midday,Vytila,11:25,11:27,1300,46,6,13.9
146,2,R1001,4,23-09-2025,Midday,Thaikoodam,11:30,11:33,1300,12,31,12.5
147,2,R1001,4,23-09-2025,Midday,Petta,11:36,11:39,1300,27,28,12.4
148,2,R1001,4,23-09-2025,Midday,Vadakkekotta,11:42,11:45,1300,70,13,16.8
149,2,R1001,4,23-09-2025,Midday,SN Junction,11:48,11:50,1300,50,67,15.5
150,2,R1001,4,23-09-2025,Midday,Tripunithura,11:54,11:57,1300,65,10,19.7
151,2,R1001,4,23-09-2025,Evening Peak,Aluva,16:00,16:02,1300,52,18,2.6
152,2,R1001,4,23-09-2025,Evening Peak,Pulinchodu,16:05,16:08,1300,141,119,4.3
153,2,R1001,4,23-09-2025,Evening Peak,Companypady,16:10,16:12,1300,38,23,5.5
154,2,R1001,4,23-09-2025,Evening Peak,Ambattukavu,16:15,16:17,1300,184,136,9.2
155,2,R1001,4,23-09-2025,Evening Peak,Muttom,16:19,16:21,1300,183,130,13.2
156,2,R1001,4,23-09-2025,Evening Peak,Kalamassery,16:23,16:26,1300,168,52,22.2
157,2,R1001,4,23-09-2025,Evening Peak,Cochin University,16:26,16:27,1300,87,94,21.6
158,2,R1001,4,23-09-2025,Evening Peak,Pathadipalam,16:31,16:32,1300,138,75,26.5
159,2,R1001,4,23-09-2025,Evening Peak,Edapally,16:34,16:36,1300,55,45,27.2
160,2,R1001,4,23-09-2025,Evening Peak,Changampuzha Park,16:39,16:41,1300,104,105,27.2
161,2,R1001,4,23-09-2025,Evening Peak,Palarivattom,16:42,16:44,1300,180,78,35
162,2,R1001,4,23-09-2025,Evening Peak,JLN Stadium,16:47,16:48,1300,63,56,35.5
163,2,R1001,4,23-09-2025,Evening Peak,Kaloor,16:52,16:55,1300,191,34,47.6
164,2,R1001,4,23-09-2025,Evening Peak,Town Hall,16:58,16:59,1300,50,39,48.5
165,2,R1001,4,23-09-2025,Evening Peak,M.G Road,17:01,17:04,1300,132,26,56.6
166,2,R1001,4,23-09-2025,Evening Peak,Maharaja's College,17:04,17:07,1300,197,16,70.5
167,2,R1001,4,23-09-2025,Evening Peak,Emakulam South,17:07,17:10,1300,133,21,79.2
168,2,R1001,4,23-09-2025,Evening Peak,Kadavanthra,17:10,17:11,1300,66,35,81.5
169,2,R1001,4,23-09-2025,Evening Peak,Elamkulam,17:15,17:17,1300,184,49,91.9
170,2,R1001,4,23-09-2025,Evening Peak,Vytila,17:21,17:23,1300,135,21,100
171,2,R1001,4,23-09-2025,Evening Peak,Thaikoodam,17:27,17:29,1300,135,57,100
172,2,R1001,4,23-09-2025,Evening Peak,Petta,17:30,17:32,1300,169,94,100
173,2,R1001,4,23-09-2025,Evening Peak,Vadakkekotta,17:34,17:35,1300,153,111,100
174,2,R1001,4,23-09-2025,Evening Peak,SN Junction,17:40,17:42,1300,146,44,100
175,2,R1001,4,23-09-2025,Evening Peak,Tripunithura,17:44,17:47,1300,193,139,100
176,2,R1001,4,23-09-2025,Night,Aluva,20:00,20:02,1300,39,43,0
177,2,R1001,4,23-09-2025,Night,Pulinchodu,20:06,20:09,1300,11,60,0
178,2,R1001,4,23-09-2025,Night,Companypady,20:11,20:12,1300,57,17,3.1
179,2,R1001,4,23-09-2025,Night,Ambattukavu,20:17,20:18,1300,71,53,4.5
180,2,R1001,4,23-09-2025,Night,Muttom,20:21,20:23,1300,63,5,8.9
181,2,R1001,4,23-09-2025,Night,Kalamassery,20:24,20:27,1300,48,28,10.5
182,2,R1001,4,23-09-2025,Night,Cochin University,20:30,20:31,1300,43,10,13
183,2,R1001,4,23-09-2025,Night,Pathadipalam,20:35,20:38,1300,80,50,15.3
184,2,R1001,4,23-09-2025,Night,Edapally,20:38,20:40,1300,60,33,17.4
185,2,R1001,4,23-09-2025,Night,Changampuzha Park,20:44,20:46,1300,30,69,14.4
186,2,R1001,4,23-09-2025,Night,Palarivattom,20:50,20:51,1300,34,36,14.2
187,2,R1001,4,23-09-2025,Night,JLN Stadium,20:55,20:56,1300,42,22,15.8
188,2,R1001,4,23-09-2025,Night,Kaloor,20:58,21:01,1300,26,47,14.2
189,2,R1001,4,23-09-2025,Night,Town Hall,21:02,21:05,1300,29,67,11.2
190,2,R1001,4,23-09-2025,Night,M.G Road,21:08,21:10,1300,68,31,14.1
191,2,R1001,4,23-09-2025,Night,Maharaja's College,21:14,21:17,1300,9,57,10.4
192,2,R1001,4,23-09-2025,Night,Emakulam South,21:20,21:23,1300,24,5,11.8
193,2,R1001,4,23-09-2025,Night,Kadavanthra,21:25,21:26,1300,25,29,11.5
194,2,R1001,4,23-09-2025,Night,Elamkulam,21:29,21:32,1300,5,69,6.6
195,2,R1001,4,23-09-2025,Night,Vytila,21:34,21:37,1300,21,31,5.8
196,2,R1001,4,23-09-2025,Night,Thaikoodam,21:39,21:41,1300,65,33,8.3
197,2,R1001,4,23-09-2025,Night,Petta,21:42,21:43,1300,5,35,6
198,2,R1001,4,23-09-2025,Night,Vadakkekotta,21:46,21:47,1300,54,51,6.2
199,2,R1001,4,23-09-2025,Night,SN Junction,21:51,21:52,1300,39,43,5.9
200,2,R1001,4,23-09-2025,Night,Tripunithura,21:57,21:58,1300,44,16,8.1
201,3,R1002,6,23-09-2025,Morning Peak,Aluva,07:00,07:02,1800,32,102,0
202,3,R1002,6,23-09-2025,Morning Peak,Pulinchodu,07:05,07:07,1800,85,143,0
203,3,R1002,6,23-09-2025,Morning Peak,Companypady,07:09,07:12,1800,187,31,8.7
204,3,R1002,6,23-09-2025,Morning Peak,Ambattukavu,07:15,07:17,1800,200,60,16.4
205,3,R1002,6,23-09-2025,Morning Peak,Muttom,07:21,07:22,1800,32,103,12.5
206,3,R1002,6,23-09-2025,Morning Peak,Kalamassery,07:25,07:27,1800,148,74,16.6
207,3,R1002,6,23-09-2025,Morning Peak,Cochin University,07:29,07:30,1800,161,88,20.7
208,3,R1002,6,23-09-2025,Morning Peak,Pathadipalam,07:35,07:37,1800,119,50,24.5
209,3,R1002,6,23-09-2025,Morning Peak,Edapally,07:38,07:41,1800,183,36,32.7
210,3,R1002,6,23-09-2025,Morning Peak,Changampuzha Park,07:44,07:46,1800,169,131,34.8
211,3,R1002,6,23-09-2025,Morning Peak,Palarivattom,07:49,07:52,1800,75,91,33.9
212,3,R1002,6,23-09-2025,Morning Peak,JLN Stadium,07:54,07:55,1800,165,48,40.4
213,3,R1002,6,23-09-2025,Morning Peak,Kaloor,07:57,07:59,1800,130,83,43
214,3,R1002,6,23-09-2025,Morning Peak,Town Hall,08:03,08:05,1800,178,104,47.1
215,3,R1002,6,23-09-2025,Morning Peak,M.G Road,08:07,08:08,1800,119,11,53.1
216,3,R1002,6,23-09-2025,Morning Peak,Maharaja's College,08:11,08:12,1800,182,30,61.6
217,3,R1002,6,23-09-2025,Morning Peak,Emakulam South,08:15,08:17,1800,165,121,64
218,3,R1002,6,23-09-2025,Morning Peak,Kadavanthra,08:20,08:22,1800,53,144,58.9
219,3,R1002,6,23-09-2025,Morning Peak,Elamkulam,08:23,08:25,1800,47,99,56.1
220,3,R1002,6,23-09-2025,Morning Peak,Vytila,08:29,08:31,1800,163,107,59.2
221,3,R1002,6,23-09-2025,Morning Peak,Thaikoodam,08:35,08:38,1800,38,98,55.8
222,3,R1002,6,23-09-2025,Morning Peak,Petta,08:41,08:44,1800,41,115,51.7
223,3,R1002,6,23-09-2025,Morning Peak,Vadakkekotta,08:46,08:49,1800,188,10,61.6
224,3,R1002,6,23-09-2025,Morning Peak,SN Junction,08:52,08:55,1800,117,64,64.6
225,3,R1002,6,23-09-2025,Morning Peak,Tripunithura,08:56,08:57,1800,185,112,68.6
226,3,R1002,6,23-09-2025,Midday,Aluva,10:00,10:01,1800,7,63,0
227,3,R1002,6,23-09-2025,Midday,Pulinchodu,10:04,10:06,1800,42,62,0
228,3,R1002,6,23-09-2025,Midday,Companypady,10:09,10:11,1800,33,21,0.7
229,3,R1002,6,23-09-2025,Midday,Ambattukavu,10:14,10:16,1800,59,50,1.2
230,3,R1002,6,23-09-2025,Midday,Muttom,10:19,10:20,1800,28,61,0
231,3,R1002,6,23-09-2025,Midday,Kalamassery,10:23,10:25,1800,78,33,2.5
232,3,R1002,6,23-09-2025,Midday,Cochin University,10:28,10:29,1800,5,32,1
233,3,R1002,6,23-09-2025,Midday,Pathadipalam,10:31,10:34,1800,7,39,0
234,3,R1002,6,23-09-2025,Midday,Edapally,10:34,10:36,1800,30,57,0
235,3,R1002,6,23-09-2025,Midday,Changampuzha Park,10:37,10:39,1800,75,21,3
236,3,R1002,6,23-09-2025,Midday,Palarivattom,10:43,10:46,1800,12,14,2.9
237,3,R1002,6,23-09-2025,Midday,JLN Stadium,10:48,10:49,1800,72,41,4.6
238,3,R1002,6,23-09-2025,Midday,Kaloor,10:51,10:53,1800,70,70,4.6
239,3,R1002,6,23-09-2025,Midday,Town Hall,10:56,10:59,1800,50,15,6.6
240,3,R1002,6,23-09-2025,Midday,M.G Road,11:00,11:01,1800,16,56,4.3
241,3,R1002,6,23-09-2025,Midday,Maharaja's College,11:06,11:08,1800,77,17,7.7
242,3,R1002,6,23-09-2025,Midday,Emakulam South,11:09,11:11,1800,50,63,6.9
243,3,R1002,6,23-09-2025,Midday,Kadavanthra,11:12,11:14,1800,5,9,6.7
244,3,R1002,6,23-09-2025,Midday,Elamkulam,11:16,11:18,1800,40,14,8.2
245,3,R1002,6,23-09-2025,Midday,Vytila,11:22,11:23,1800,49,45,8.4
246,3,R1002,6,23-09-2025,Midday,Thaikoodam,11:26,11:28,1800,47,44,8.6
247,3,R1002,6,23-09-2025,Midday,Petta,11:30,11:33,1800,31,60,6.9
248,3,R1002,6,23-09-2025,Midday,Vadakkekotta,11:35,11:37,1800,10,12,6.8
249,3,R1002,6,23-09-2025,Midday,SN Junction,11:38,11:39,1800,54,10,9.3
250,3,R1002,6,23-09-2025,Midday,Tripunithura,11:41,11:44,1800,64,24,11.5
251,3,R1002,6,23-09-2025,Evening Peak,Aluva,16:00,16:02,1800,80,41,2.2
252,3,R1002,6,23-09-2025,Evening Peak,Pulinchodu,16:06,16:08,1800,139,28,8.3
253,3,R1002,6,23-09-2025,Evening Peak,Companypady,16:12,16:14,1800,38,111,4.3
254,3,R1002,6,23-09-2025,Evening Peak,Ambattukavu,16:15,16:16,1800,130,92,6.4
255,3,R1002,6,23-09-2025,Evening Peak,Muttom,16:20,16:23,1800,81,146,2.8
256,3,R1002,6,23-09-2025,Evening Peak,Kalamassery,16:23,16:25,1800,137,145,2.3
257,3,R1002,6,23-09-2025,Evening Peak,Cochin University,16:26,16:28,1800,189,41,10.6
258,3,R1002,6,23-09-2025,Evening Peak,Pathadipalam,16:29,16:32,1800,159,28,17.8
259,3,R1002,6,23-09-2025,Evening Peak,Edapally,16:33,16:36,1800,113,39,21.9
260,3,R1002,6,23-09-2025,Evening Peak,Changampuzha Park,16:36,16:39,1800,66,63,22.1
261,3,R1002,6,23-09-2025,Evening Peak,Palarivattom,16:41,16:42,1800,60,10,24.9
262,3,R1002,6,23-09-2025,Evening Peak,JLN Stadium,16:47,16:49,1800,98,150,22
263,3,R1002,6,23-09-2025,Evening Peak,Kaloor,16:52,16:53,1800,164,37,29.1
264,3,R1002,6,23-09-2025,Evening Peak,Town Hall,16:56,16:57,1800,75,27,31.7
265,3,R1002,6,23-09-2025,Evening Peak,M.G Road,17:02,17:03,1800,87,58,33.3
266,3,R1002,6,23-09-2025,Evening Peak,Maharaja's College,17:08,17:10,1800,78,137,30.1
267,3,R1002,6,23-09-2025,Evening Peak,Emakulam South,17:14,17:16,1800,138,31,36
268,3,R1002,6,23-09-2025,Evening Peak,Kadavanthra,17:17,17:18,1800,164,76,40.9
269,3,R1002,6,23-09-2025,Evening Peak,Elamkulam,17:22,17:23,1800,34,72,38.8
270,3,R1002,6,23-09-2025,Evening Peak,Vytila,17:25,17:27,1800,70,103,36.9
271,3,R1002,6,23-09-2025,Evening Peak,Thaikoodam,17:28,17:30,1800,167,116,39.8
272,3,R1002,6,23-09-2025,Evening Peak,Petta,17:32,17:35,1800,192,43,48.1
273,3,R1002,6,23-09-2025,Evening Peak,Vadakkekotta,17:36,17:39,1800,127,87,50.3
274,3,R1002,6,23-09-2025,Evening Peak,SN Junction,17:41,17:44,1800,40,95,47.2
275,3,R1002,6,23-09-2025,Evening Peak,Tripunithura,17:46,17:49,1800,92,132,45
276,3,R1002,6,23-09-2025,Night,Aluva,20:00,20:02,1800,49,17,1.8
277,3,R1002,6,23-09-2025,Night,Pulinchodu,20:06,20:09,1800,45,19,3.2
278,3,R1002,6,23-09-2025,Night,Companypady,20:10,20:13,1800,45,49,3
279,3,R1002,6,23-09-2025,Night,Ambattukavu,20:16,20:19,1800,72,19,5.9
280,3,R1002,6,23-09-2025,Night,Muttom,20:21,20:22,1800,42,57,5.1
281,3,R1002,6,23-09-2025,Night,Kalamassery,20:25,20:27,1800,32,56,3.8
282,3,R1002,6,23-09-2025,Night,Cochin University,20:28,20:29,1800,10,64,0.8
283,3,R1002,6,23-09-2025,Night,Pathadipalam,20:34,20:36,1800,36,49,0.1
284,3,R1002,6,23-09-2025,Night,Edapally,20:38,20:41,1800,31,63,0
285,3,R1002,6,23-09-2025,Night,Changampuzha Park,20:44,20:47,1800,49,55,0
286,3,R1002,6,23-09-2025,Night,Palarivattom,20:49,20:51,1800,8,49,0
287,3,R1002,6,23-09-2025,Night,JLN Stadium,20:54,20:55,1800,23,30,0
288,3,R1002,6,23-09-2025,Night,Kaloor,20:58,21:00,1800,45,54,0
289,3,R1002,6,23-09-2025,Night,Town Hall,21:04,21:06,1800,70,25,2.5
290,3,R1002,6,23-09-2025,Night,M.G Road,21:08,21:09,1800,37,28,3
291,3,R1002,6,23-09-2025,Night,Maharaja's College,21:11,21:12,1800,71,38,4.8
292,3,R1002,6,23-09-2025,Night,Emakulam South,21:15,21:16,1800,16,25,4.3
293,3,R1002,6,23-09-2025,Night,Kadavanthra,21:21,21:23,1800,24,56,2.6
